|           Tasks            |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|                            |       |none  |     0|f1    |↑  |0.3081|±  |   N/A|
|afrimmlu_direct_sot_prompt_3|      1|none  |     0|acc   |↑  |0.2960|±  |0.0204|
|                            |       |none  |     0|f1    |↑  |0.2958|±  |   N/A|
|afrimmlu_direct_sot_prompt_4|      1|none  |     0|acc   |↑  |0.3220|±  |0.0209|
|                            |       |none  |     0|f1    |↑  |0.3223|±  |   N/A|
|afrimmlu_direct_sot_prompt_5|      1|none  |     0|acc   |↑  |0.2920|±  |0.0204|
|                            |       |none  |     0|f1    |↑  |0.2938|±  |   N/A|
|afrimmlu_direct_swa_prompt_1|      1|none  |     0|acc   |↑  |0.3420|±  |0.0212|
|                            |       |none  |     0|f1    |↑  |0.3421|±  |   N/A|
|afrimmlu_direct_swa_prompt_2|      1|none  |     0|acc   |↑  |0.3400|±  |0.0212|
|                            |       |none  |     0|f1    |↑  |0.3385|±  |   N/A|
|afrimmlu_direct_swa_prompt_3|      1|none  |     0|acc   |↑  |0.3360|±  |0.0211|
|                            |       |none  |     0|f1    |↑  |0.3350|±  |   N/A|
|afrimmlu_direct_swa_prompt_4|      1|none  |     0|acc   |↑  |0.3460|±  |0.0213|
|                            |       |none  |     0|f1    |↑  |0.3456|±  |   N/A|
|afrimmlu_direct_swa_prompt_5|      1|none  |     0|acc   |↑  |0.3240|±  |0.0210|
|                            |       |none  |     0|f1    |↑  |0.3203|±  |   N/A|
|afrimmlu_direct_twi_prompt_1|      1|none  |     0|acc   |↑  |0.3220|±  |0.0209|
|                            |       |none  |     0|f1    |↑  |0.3241|±  |   N/A|
|afrimmlu_direct_twi_prompt_2|      1|none  |     0|acc   |↑  |0.2660|±  |0.0198|
|                            |       |none  |     0|f1    |↑  |0.2675|±  |   N/A|
|afrimmlu_direct_twi_prompt_3|      1|none  |     0|acc   |↑  |0.2840|±  |0.0202|
|                            |       |none  |     0|f1    |↑  |0.2865|±  |   N/A|
|afrimmlu_direct_twi_prompt_4|      1|none  |     0|acc   |↑  |0.2940|±  |0.0204|
|                            |       |none  |     0|f1    |↑  |0.2946|±  |   N/A|
|afrimmlu_direct_twi_prompt_5|      1|none  |     0|acc   |↑  |0.2740|±  |0.0200|
|                            |       |none  |     0|f1    |↑  |0.2759|±  |   N/A|
|afrimmlu_direct_wol_prompt_1|      1|none  |     0|acc   |↑  |0.3220|±  |0.0209|
|                            |       |none  |     0|f1    |↑  |0.3213|±  |   N/A|
|afrimmlu_direct_wol_prompt_2|      1|none  |     0|acc   |↑  |0.3000|±  |0.0205|
|                            |       |none  |     0|f1    |↑  |0.3013|±  |   N/A|
|afrimmlu_direct_wol_prompt_3|      1|none  |     0|acc   |↑  |0.3160|±  |0.0208|
|                            |       |none  |     0|f1    |↑  |0.3157|±  |   N/A|
|afrimmlu_direct_wol_prompt_4|      1|none  |     0|acc   |↑  |0.2960|±  |0.0204|
|                            |       |none  |     0|f1    |↑  |0.2944|±  |   N/A|
|afrimmlu_direct_wol_prompt_5|      1|none  |     0|acc   |↑  |0.3160|±  |0.0208|
